pair,stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,sell_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,buy_tag,open_timestamp,close_timestamp
XRP/USDT,431.53673629,380.44321281,11/02/21 20:00:00,11/04/21 01:50:00,1.1343,1.2501144144144143,0.001,0.001,1790,0.0999001,43.15367363,roi,-111.16140000000001,-99.0,0.01136570876522723,-0.9899613948372838,1.1194,1.2574,False,,1635883200000.0,1635990600000.0
ROSE/USDT,458.69650358,2223.33625895,11/04/21 00:00:00,11/05/21 12:00:00,0.20631000000000002,0.19216000000000003,0.001,0.001,2160,-0.07044708,-32.34614086,stoploss,-20.218380000000003,-99.0,0.002067230341226841,-0.9892421401892858,0.19184,0.22663000000000003,False,,1635984000000.0,1636113600000.0
DOT/USDT,444.45579131,8.20937923,11/03/21 20:00:00,11/05/21 14:45:00,54.14,51.7,0.001,0.001,2565,-0.0469763,-20.89976602,stoploss,-5305.72,-99.0,0.5424838862773492,-0.9895656109583122,51.37,55.09,False,,1635969600000.0,1636123500000.0
SOL/USDT,455.36606661,1.79837316,11/06/21 16:00:00,11/08/21 01:40:00,253.21,242.17,0.001,0.001,2020,-0.04551106,-20.74491778,stoploss,-24814.58,-99.0,2.5371692820635774,-0.9898808707292164,240.83,259.9,False,,1636214400000.0,1636335600000.0
LUNA/USDT,472.93721588,9.77546953,11/04/21 04:00:00,11/08/21 17:05:00,48.38,53.3196996996997,0.001,0.001,6545,0.0999001,47.29372159,roi,-4741.240000000001,-99.0,0.4847685705941586,-0.9908222534912124,46.03,53.42,False,,1635998400000.0,1636391100000.0
LUNA/USDT,464.12717187,8.54116989,11/08/21 20:00:00,11/09/21 11:30:00,54.34,52.05,0.001,0.001,930,-0.04405587,-20.46797411,stoploss,-5325.320000000001,-99.0,0.5444878905893141,-0.9900002223950539,52.01,54.8,False,,1636401600000.0,1636457400000.0
ADA/USDT,457.37274041,199.55180646,11/09/21 12:00:00,11/10/21 20:00:00,2.292,2.171,0.001,0.001,1920,-0.05468484,-25.03636829,stoploss,-224.61599999999999,-99.0,0.022965885999863492,-0.9895799065336373,2.11,2.378,False,,1636459200000.0,1636574400000.0
ROSE/USDT,424.10327161,1954.5731017,11/08/21 08:00:00,11/10/21 20:55:00,0.21698,0.20244,0.001,0.001,3655,-0.0688749,-29.23927995,stoploss,-21.26404,-99.0,0.0021741439549984466,-0.9896553078222465,0.20059000000000002,0.2278,False,,1636358400000.0,1636577700000.0
XRP/USDT,448.52024374,356.13803696,11/08/21 04:00:00,11/10/21 21:25:00,1.2594,1.12,0.001,0.001,3925,-0.11246448,-50.4930372,stoploss,-123.42120000000001,-99.0,0.012619213276093496,-0.9899831613937978,1.1174,1.3493,False,,1636344000000.0,1636579500000.0
ROSE/USDT,422.79907422,1838.49664833,11/12/21 00:00:00,11/12/21 02:50:00,0.22997,0.2534504204204204,0.001,0.001,170,0.0999001,42.27990742,roi,-22.53706,-99.0,0.0023043040143611005,-0.989872971722066,0.22405000000000003,0.25784,False,,1636675200000.0,1636685400000.0
ROSE/USDT,436.75144367,1801.40830549,11/12/21 04:00:00,11/12/21 04:30:00,0.24245000000000003,0.26720465465465465,0.001,0.001,30,0.0999001,43.67514437,roi,-23.7601,-99.0,0.0024293538643787495,-0.9904846897325653,0.24222000000000002,0.27,False,,1636689600000.0,1636691400000.0
NEAR/USDT,422.79907422,34.66987078,11/11/21 12:00:00,11/12/21 11:55:00,12.195,11.261,0.001,0.001,1435,-0.07843374,-33.1948758,stoploss,-1195.1100000000001,-99.0,0.12219414475582571,-0.9895076296792181,11.182,12.657,False,,1636632000000.0,1636718100000.0
ROSE/USDT,440.20993229,1765.85475668,11/12/21 08:00:00,11/13/21 00:00:00,0.24929,0.22495,0.001,0.001,960,-0.09944021,-43.81834374,stoploss,-24.43042,-99.0,0.0024978908042708483,-0.9889630134134374,0.22441000000000003,0.265,False,,1636704000000.0,1636761600000.0
